91 Days
A Silent Voice
Absolute Duo
Accel World
Ace of Diamond
Afro Samurai
After the Rain
Air
Ajin
Akame ga Kill
Akashic Records
Akatsuki no Yona
Akira
Aku no Hana
Aldnoah Zero
Amagi Brilliant Park
Amnesia
Ancient Magus Bride
Angel Beats
Angel's Egg
Anohana
AnoNatsu
Another
Arakawa Under the Bridge
Aria
Arrietty
Ashita no Joe
Assassination Classroom
Attack on Titan
B gata H kei
Baby Steps
Baccano
Baka to Test
Bakemono no Ko
Bakuman
Banana Fish
Bananya
Barakamon
Beastars
Beck
Berserk
Beyblade
Black Bullet
Black Lagoon
Black Rock Shooter
Blast of Tempest
Bleach
Blood Lad
Bloom Into You
Blue Exorcist
Blue Spring Ride
Btooom
Bungou Stray Dogs
Bunny Girl Senpai
Buster
C Control
Cardcaptor Sakura
Carole and Tuesday
Castle in the Sky
Cells At Work
ChaoS HEAd
Charlotte
Chihayafuru
Chivalry of a Failed Knight
Chobits
Chuunibyou
Citrus
Clannad
Classroom of the Elite
Claymore
Code Geass
Conception
Cowboy Bebop
Cross Game
D Frag
D Gray man
Danganronpa
DanMachi
Danna ga Nani wo Itteiru ka Wakaranai Ken
Darker than Black
Darling in the Franxx
Date A Live
Deadman Wonderland
Death Note
Death Parade
Demon Slayer
Devilman
Digimon
DomeKano
Dorohedoro
Dororo
Doukyuusei
Dr. Stone
Dragon Ball
Durarara
Eccentric Family
Eden of the East
Eizouken
Elfen Lied
Erased
Ergo Proxy
Eromanga sensei
Eureka Seven
Fairy Tail
Fate
Fire Force
FLCL
Flip Flappers
Flying Witch
Food Wars
Free
From Up on Poppy Hill
Fruit of Grisaia
Fruits Basket
Fujiko Mine
Full Metal Panic
Fullmetal Alchemist
Fune wo Amu
Future Diary
Gakkou Gurashi
Gakusen Toshi Asterisk
Gangsta
Gankutsuou
Garden of Sinners
Garden of Words
GATE
Ghost Hound
Ghost in the Shell
Gintama
Girls & Panzer
Girls Last Tour
Given
Goblin Slayer
Golden Time
Gosick
Grand Blue
Grave of the Fireflies
Great Teacher Onizuka
Grimgar
Guilty Crown
Gurren Lagann
Haganai
Haibane Renmei
Haikyu
Hajime no Ippo
Hand Shakers
Haruhi Suzumiya
Hellsing
Henneko
Hibike Euphonium
Hidan no Aria
High School DxD
Highschool of the Dead
Higurashi
Himouto Umaru chan
Hinamatsuri
Hitoribocchi
Honey and Clover
Houseki no Kuni
Howl's Moving Castle
Humanity Has Declined
Hunter x Hunter
Hyouka
I Want to Eat Your Pancreas
Ichiban Ushiro no Daimaou
In This Corner of the World
Inu x Boku SS
InuYasha
Inuyashiki
IS Infinite Stratos
JoJo
Jormungand
Juuni Taisen
K On
Kabaneri
Kaguya-sama
Kaiji
Kakegurui
Kaku Tatakaeri
Kamisama Hajimemashita
Kanon
KareKano
Kase-san
Katanagatari
Kawaisou
Kaze no Stigma
Keijo
Kekkai Sensen
Kemonozume
Kiki's Delivery Service
Kill la Kill
Kimi ni Todoke
Kiss Him Not Me
Kiss x Sis
Kiznaiver
Kokoro Connect
Kono Oto Tomare
Konosuba
Kore wa Zombie Desu ka
Kuroko no Basket
Kuroshitsuji
